Courtois,GK,Chelsea,0
Begovic,GK,Chelsea,0
Costa,F,Chelsea,30
Remy,F,Chelsea,50
Pato,F,Chelsea,60
Hazard,M,Chelsea,70
Matic,M,Chelsea,75
Oscar,M,Chelsea,85
Willian,M,Chelsea,95
Cahill,D,Chelsea,105
Zouma,D,Chelsea,110
Baba,D,Chelsea,115
Miazga,D,Chelsea,120
Sommer,GK,BorrusiaM,0
Sippel,GK,BorrusiaM,0
Raffael,F,BorrusiaM,20
Stindl,F,BorrusiaM,40
Drmic,F,BorrusiaM,50
Xhaka,M,BorrusiaM,60
Traore,M,BorrusiaM,70
Johnson,M,BorrusiaM,80
Hofmann,M,BorrusiaM,85
Stranzl,D,BorrusiaM,90
Jantschke,D,BorrusiaM,95
Wendt,D,BorrusiaM,97
Korb,D,BorrusiaM,100
Frei,GK,Seattle,0
Perkins,GK,Seattle,0
Lyon,GK,Seattle,0
Dempsey,F,Seattle,30
Valdez,F,Seattle,50
Pappa,M,Seattle,60
Neagle,M,Seattle,65
Alonso,M,Seattle,68
Pineda,M,Seattle,70
Rose,M,Seattle,72
Mears,D,Seattle,74
Evans,D,Seattle,76
Jones,D,Seattle,78
Remick,D,Seattle,80
